city,name,sport,gender,league
austin,austin fc,soccer,m,mls
san antonio,spurs,basketball,m,nba
dallas,cowboys,football,m,nfl
dallas,mavericks,basketball,m,nba
dallas,stars,hockey,m,nhl
dallas,texas rangers,baseball,m,mlb
dallas,wings,basketball,f,wnba
dallas,fc dallas,soccer,m,mls
dallas,rattlers,lacrosse,m,mll
houston,dynamo,soccer,m,mls
houston,sabercats,rugby,m,mlr
houston,rockets,basketball,m,nba
houston,astros,baseball,m,mlb
houston,texans,football,m,nfl
houston,dash,soccer,m,nwsl
new york,yankees,baseball,m,mlb
new york,giants,football,m,nfl
new york,jets,football,m,nfl
new york,mets,baseball,m,mlb
new york,knicks,basketball,m,nba
new york,liberty,basketball,f,wnba
new york,rangers,hockey,m,nhl
new york,islanders,hockey,m,nhl
new york,red bulls,soccer,m,mls
new york,new york city fc,soccer,m,mls
